Eviction ID,Address,City,Year,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,data_as_of,data_loaded_at
M210001,3100 Block Of Octavia Street,San Francisco,2021,94123,1/4/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,Marina,"    (37.801174807, -122.429500503)",POINT (-122.429500503 37.801174807),4/11/2026 0:00,4/11/2026 5:22
M210003,300 Block Of King Street,San Francisco,2021,94158,1/5/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,Mission Bay,"    (37.775328443, -122.395002097)",POINT (-122.395002097 37.775328443),4/11/2026 0:00,4/11/2026 5:22
M210002,1200 Block Of Pine Street,San Francisco,2021,94109,1/5/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,Nob Hill,"    (37.790095488, -122.416370999)",POINT (-122.416370999 37.790095488),4/11/2026 0:00,4/11/2026 5:22
M210004,600 Block Of Bush Street,San Francisco,2021,94108,1/5/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,Nob Hill,"    (37.790265262, -122.408389146)",POINT (-122.408389146 37.790265262),4/11/2026 0:00,4/11/2026 5:22
M210007,1400 Block Of Fulton Street,San Francisco,2021,94117,1/7/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,Western Addition,"    (37.77659376, -122.440677225)",POINT (-122.440677225 37.77659376),4/11/2026 0:00,4/11/2026 5:22
M210008,1400 Block Of Fulton Street,San Francisco,2021,94117,1/7/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,Western Addition,"    (37.77659376, -122.440677225)",POINT (-122.440677225 37.77659376),4/11/2026 0:00,4/11/2026 5:22
M210009,600 Block Of Arguello Boulevard,San Francisco,2021,94118,1/7/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Inner Richmond,"    (37.777627831, -122.458678339)",POINT (-122.458678339 37.777627831),4/11/2026 0:00,4/11/2026 5:22
M210006,100 Block Of Vienna Street,San Francisco,2021,94112,1/7/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,11,Excelsior,"    (37.72590138, -122.426262999)",POINT (-122.426262999 37.72590138),4/11/2026 0:00,4/11/2026 5:22
M210010,1200 Block Of Pine Street,San Francisco,2021,94109,1/8/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,Nob Hill,"    (37.790095488, -122.416370999)",POINT (-122.416370999 37.790095488),4/11/2026 0:00,4/11/2026 5:22
M210011,700 Block Of Tennessee Street,San Francisco,2021,94107,1/8/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Potrero Hill,"    (37.762352641, -122.389601294)",POINT (-122.389601294 37.762352641),4/11/2026 0:00,4/11/2026 5:22
